iter	Passed	Remaining
446	1138	1408
447	1141	1406
448	1143	1403
449	1145	1400
450	1148	1397
451	1150	1394
452	1152	1391
453	1154	1388
454	1156	1385
455	1159	1382
456	1161	1380
457	1163	1377
458	1165	1374
459	1168	1371
460	1170	1368
461	1172	1365
462	1174	1362
463	1177	1359
464	1179	1356
465	1181	1353
466	1183	1350
467	1185	1347
468	1187	1345
469	1190	1342
470	1192	1339
471	1194	1336
472	1196	1333
473	1199	1330
474	1201	1328
475	1203	1325
476	1205	1322
477	1207	1319
478	1210	1316
479	1212	1313
480	1214	1310
481	1216	1307
482	1218	1304
483	1221	1301
484	1223	1298
485	1225	1295
486	1227	1293
487	1229	1290
488	1232	1287
489	1234	1284
490	1236	1281
491	1238	1278
492	1240	1275
493	1242	1272
494	1244	1270
495	1246	1267
496	1249	1264
497	1251	1261
498	1253	1258
499	1255	1255
500	1258	1253
501	1260	1250
502	1262	1247
503	1265	1245
504	1267	1242
505	1269	1239
506	1272	1237
507	1274	1234
508	1277	1231
509	1279	1229
510	1281	1226
511	1284	1224
512	1286	1221
513	1289	1219
514	1291	1216
515	1294	1214
516	1296	1211
517	1299	1209
518	1302	1206
519	1304	1204
520	1307	1201
521	1309	1199
522	1312	1197
523	1315	1194
524	1317	1192
525	1320	1190
526	1323	1187
527	1325	1185
528	1336	1190
529	1339	1187
530	1342	1185
531	1345	1183
532	1347	1180
533	1350	1178
534	1353	1176
535	1355	1173
536	1358	1171
537	1361	1168
538	1363	1166
539	1366	1164
540	1369	1161
541	1371	1158
542	1373	1156
543	1376	1153
544	1378	1151
545	1381	1148
546	1383	1145
547	1386	1143
548	1389	1141
549	1391	1138
550	1395	1137
551	1398	1135
552	1401	1133
553	1405	1131
554	1408	1129
555	1412	1128
556	1415	1125
557	1419	1124
558	1423	1122
559	1427	1121
560	1432	1120
561	1436	1119
562	1440	1117
563	1444	1116
564	1448	1115
565	1453	1114
566	1456	1112
567	1460	1110
568	1464	1109
569	1468	1107
570	1471	1105
571	1475	1103
572	1478	1101
573	1482	1100
574	1486	1098
575	1489	1096
576	1493	1094
577	1496	1092
578	1499	1090
579	1502	1087
580	1504	1085
581	1508	1083
582	1511	1081
583	1514	1078
584	1517	1076
585	1520	1074
586	1523	1071
587	1526	1069
588	1529	1067
589	1532	1064
590	1535	1062
591	1538	1060
592	1541	1058
593	1544	1055
594	1547	1053
595	1550	1051
596	1553	1048
597	1556	1046
598	1559	1043
599	1562	1041
600	1564	1038
601	1568	1036
602	1570	1034
603	1573	1031
604	1576	1029
605	1579	1027
606	1583	1024
607	1585	1022
608	1588	1020
609	1591	1017
610	1594	1015
611	1598	1013
612	1612	1017
613	1615	1015
614	1618	1012
615	1621	1010
616	1623	1007
617	1626	1005
618	1630	1003
619	1633	1000
620	1636	998
621	1639	996
622	1642	993
623	1645	991
624	1648	989
625	1651	986
626	1654	984
627	1658	982
628	1661	979
629	1664	977
630	1667	974
631	1670	972
632	1673	970
633	1677	968
634	1680	965
635	1683	963
636	1686	960
637	1688	958
638	1691	955
639	1694	953
640	1697	950
641	1700	948
642	1703	945
643	1707	943
644	1709	941
645	1712	938
646	1715	935
647	1718	933
648	1721	930
649	1723	928
650	1726	925
651	1729	922
652	1731	920
653	1734	917
654	1736	914
655	1739	911
656	1741	909
657	1743	906
658	1746	903
659	1748	900
660	1750	897
661	1753	895
662	1755	892
663	1757	889
664	1760	886
665	1762	883
666	1764	881
667	1767	878
668	1769	875
669	1771	872
670	1773	869
671	1775	866
672	1778	863
673	1780	861
674	1782	858
675	1784	855
676	1786	852
677	1788	849
678	1790	846
679	1793	843
680	1795	841
681	1797	838
682	1799	835
683	1802	832
684	1804	829
