iter	RMSE
336	0.1413093706
337	0.1409881839
338	0.1408703945
339	0.1407045683
340	0.1402833474
341	0.1398470375
342	0.139695683
343	0.1395460307
344	0.1393399852
345	0.1390855024
346	0.1389053006
347	0.1386016973
348	0.1383740267
349	0.1382461968
350	0.1380881188
351	0.1378044832
352	0.1375920756
353	0.1373250038
354	0.1370081024
355	0.1368064398
356	0.1366875078
357	0.1365279124
358	0.1364169408
359	0.1361029978
360	0.135783686
361	0.1356232627
362	0.1354121786
363	0.1352809267
364	0.1350659211
365	0.1350108941
366	0.1348411598
367	0.1346257744
368	0.134356542
369	0.1342258138
370	0.1340528198
371	0.133939974
372	0.1335325115
373	0.1332903086
374	0.1331332429
375	0.132967805
376	0.1328654042
377	0.1327232845
378	0.1325585728
379	0.1321765473
380	0.1318002462
381	0.1316543448
382	0.1315329377
383	0.1314298107
384	0.13112562
385	0.1306825281
386	0.1305935249
387	0.1302062959
388	0.1300632675
389	0.1299384918
390	0.1298205455
391	0.1297020863
392	0.1295283531
393	0.1293567096
394	0.1291621786
395	0.1288679759
396	0.1287400512
397	0.1286483063
398	0.1285517297
399	0.1284036392
400	0.128230553
401	0.1281315914
402	0.1280107227
403	0.1278482132
404	0.1276963173
405	0.1276035906
406	0.1272433258
407	0.1271330792
408	0.1268007364
409	0.1266156617
410	0.126478117
411	0.1263835916
412	0.1262274626
413	0.1260362815
414	0.1257944608
415	0.1256450672
416	0.1253667
417	0.1252819689
418	0.1250698374
419	0.1249552154
420	0.1248226097
421	0.1246847464
422	0.1245032519
423	0.124248455
424	0.1241427599
425	0.1240456933
426	0.1239566317
427	0.123872325
428	0.1236803498
429	0.1235573003
430	0.1233830526
431	0.1232169524
432	0.1231125308
433	0.1230141088
434	0.1229136737
435	0.1227583088
436	0.1226487858
437	0.1225236302
438	0.1221469307
439	0.1219892912
440	0.1218801337
441	0.1217883658
442	0.1216840027
443	0.1215564068
444	0.1213244731
445	0.1211679955
446	0.1210857887
447	0.1208757575
448	0.1207123307
449	0.1205664533
450	0.1203502481
451	0.1202340068
452	0.1201072581
453	0.1199586056
454	0.119885799
455	0.1197687379
456	0.1195500505
457	0.1194261061
458	0.1192807818
459	0.1191920249
460	0.1190862236
461	0.1190012847
462	0.118800765
463	0.1187245309
464	0.1185574667
465	0.1183347111
466	0.1182707345
467	0.118191038
468	0.1180821586
469	0.1179156727
470	0.1177727521
471	0.117669961
472	0.1176099985
473	0.1174853765
474	0.1171131227
475	0.1169863366
476	0.1166085861
477	0.1164896916
478	0.1162540723
479	0.1161667716
480	0.1161004808
481	0.1160366554
482	0.1159832261
483	0.1158933414
484	0.1157874589
485	0.1156912271
486	0.115554446
487	0.1154614179
488	0.1152840625
489	0.115122569
490	0.1149786125
491	0.114646485
492	0.1145562123
493	0.1142749553
494	0.1141813774
495	0.1141439261
496	0.1140728667
497	0.1139033621
498	0.113818127
499	0.1137523816
500	0.1136497103
501	0.1135701641
502	0.1132691022
503	0.1130998388
504	0.1128695441
505	0.1127662931
506	0.1125725536
507	0.1124295328
508	0.1123144564
509	0.1122423592
510	0.11210896
511	0.1120327545
512	0.111931288
513	0.1117623867
514	0.1116760511
515	0.1114975588
516	0.1113677005
517	0.1112662458
518	0.1111380321
519	0.1110755707
520	0.1109653177
521	0.1108947169
522	0.1107004407
523	0.110637092
524	0.110559221
525	0.110478725
526	0.1103699494
527	0.1102727152
528	0.1099207884
529	0.1096844565
530	0.1096067108
531	0.1094987782
532	0.1094023214
533	0.109173697
534	0.1090880133
535	0.1090373964
536	0.108954817
537	0.1088102727
538	0.1087526516
539	0.1085345809
540	0.1084380734
541	0.1083249889
542	0.1082478363
543	0.1081842372
544	0.1080895284
545	0.1079340293
546	0.1077718813
547	0.1076864254
548	0.1075885248
549	0.1075114578
550	0.1074346193
551	0.107357668
552	0.1072660725
553	0.1070834663
554	0.1070098969
555	0.1069051342
556	0.1068410547
557	0.1067535393
558	0.106674192
559	0.1065936484
560	0.1064919778
561	0.1063467434
562	0.1063038335
563	0.1061948855
564	0.1060890569
565	0.1059197426
566	0.1058620843
567	0.1057467088
568	0.1056650481
569	0.1055192695
570	0.1054534669
571	0.1054173253
572	0.1053596367
573	0.1052321903
574	0.1051766497
575	0.1050501897
576	0.1048300378
577	0.1047651448
578	0.1046595684
579	0.1045823741
580	0.1045270157
581	0.1044353516
582	0.1042182345
583	0.1041844687
584	0.1041105182
585	0.1040032989
586	0.1039029553
587	0.1038366709
588	0.1037181061
589	0.1035815871
590	0.1034452044
591	0.103349523
592	0.1032944031
593	0.10319628
594	0.1030473085
595	0.1029753374
596	0.1028140712
597	0.1027306718
598	0.1025458605
599	0.1024695655
600	0.102429911
601	0.1023359667
602	0.1022575107
603	0.1021736093
604	0.1020164666
605	0.1019502527
606	0.1018406922
607	0.1017358171
608	0.1016330084
609	0.1015411476
610	0.1014652017
611	0.1013384124
612	0.101280926
613	0.1012327615
614	0.1011481039
615	0.1010711721
616	0.100979404
617	0.1008941604
618	0.1008260268
619	0.1007797398
620	0.1006945478
621	0.100520942
622	0.1004238128
623	0.1003831691
624	0.1003008762
625	0.1002465959
626	0.100176555
627	0.1000357909
628	0.09997755034
629	0.09984403169
630	0.09973542567
631	0.09969927452
632	0.09957583988
633	0.09939681074
634	0.09928777679
635	0.09924579085
636	0.09919365599
637	0.09914762588
638	0.09903597572
639	0.09882010213
640	0.09878583153
641	0.09872844293
642	0.09867680959
643	0.09852764607
644	0.09845466728
645	0.09837616427
646	0.09826212734
647	0.09818271071
648	0.09808259728
649	0.09801684952
650	0.09795055031
651	0.09789591942
652	0.0978218412
653	0.09765277055
654	0.09757521315
655	0.09742841732
656	0.09737418259
657	0.09709277991
658	0.09700548624
659	0.09693920846
660	0.09690515578
661	0.09681699644
662	0.0967329254
663	0.09644243942
664	0.09636956403
665	0.09630185415
666	0.09606590625
667	0.09600164194
668	0.09594163551
669	0.09585811288
670	0.09579314067
671	0.09571777549
672	0.0956454999
673	0.0955804603
674	0.09552864579
675	0.09543167279
676	0.09529509929
677	0.095239186
678	0.09516459481
679	0.09510763517
680	0.0950520903
681	0.09496066719
682	0.09489951147
683	0.09477742054
684	0.09467309393
685	0.09458204693
686	0.09451774998
687	0.09442443142
688	0.09437214732
689	0.09430076443
690	0.0941789417
691	0.09410986141
692	0.09403192099
693	0.09398505879
694	0.0938859913
695	0.09374830765
696	0.09369037374
697	0.09358310309
698	0.09354979641
699	0.09343577074
700	0.09333485618
701	0.09324247383
702	0.09318679074
703	0.09311180757
704	0.09305708049
705	0.09297057259
706	0.09290709193
707	0.0928053814
708	0.09271358511
709	0.09263641089
710	0.0925775104
711	0.09247478085
712	0.09237704444
713	0.09224757881
714	0.09216456627
715	0.09211094078
716	0.09205631104
717	0.09200409658
718	0.09193341932
719	0.09187579916
720	0.09182356354
721	0.09176437513
722	0.0916492242
723	0.0916023065
724	0.09154844717
725	0.09147629697
726	0.0914177672
727	0.09133754818
728	0.09127625115
729	0.09125583892
730	0.09118555613
731	0.09110159559
732	0.09104987909
733	0.09099410501
734	0.09094865605
735	0.09090897975
736	0.09077071356
737	0.09068518196
738	0.09062987856
739	0.09057159355
740	0.09048656679
741	0.09044488411
742	0.09039470606
743	0.09033273673
744	0.09028775322
745	0.09024233394
746	0.09020245652
747	0.09007140091
748	0.09000967912
749	0.08986685986
750	0.08977688606
751	0.08973123698
752	0.08963489581
753	0.08959396263
754	0.0895389769
755	0.08944164963
756	0.08937614637
757	0.08933358675
758	0.08925779383
759	0.08912574459
760	0.08903949752
761	0.08901608909
762	0.08894828718
763	0.08883676464
764	0.08877509123
765	0.08872101256
766	0.08865519916
767	0.08857372567
768	0.08850319014
769	0.08846301378
770	0.08837322808
771	0.08831077917
772	0.08823865613
773	0.0881471911
774	0.08802956228
775	0.08796562477
776	0.08777062602
777	0.08774406814
778	0.08765843927
779	0.08760691235
780	0.08752989481
781	0.08745733998
782	0.08741000521
783	0.08735012412
784	0.08724881915
785	0.08717592838
786	0.08707833023
787	0.08705171996
788	0.08700489288
789	0.08694877436
790	0.08689687846
791	0.08682995856
792	0.08676535285
793	0.08666950833
794	0.08662011377
795	0.0865792452
796	0.08640558752
797	0.08635479785
798	0.08632195433
799	0.08628104973
800	0.0862062401
801	0.08615798919
802	0.08608154804
803	0.08604494298
804	0.0859510506
805	0.08589072952
806	0.08579896642
807	0.08574277882
808	0.08569860184
809	0.0856809444
810	0.08557161462
811	0.08550225984
812	0.0854220404
813	0.08532561878
814	0.08519313836
815	0.0851313902
816	0.0850674639
817	0.08501969543
818	0.08494545122
819	0.08484435923
820	0.08478611775
821	0.08470277878
822	0.08462072615
823	0.08457557974
824	0.08453955976
825	0.08443236043
826	0.08438521684
827	0.0843322051
828	0.08425241392
829	0.08408178969
830	0.08401882867
831	0.0839285355
832	0.08389118829
833	0.08382890093
834	0.08377175482
835	0.08371893521
836	0.08362076475
837	0.08358027249
838	0.08352203311
839	0.08345141044
840	0.08339792499
841	0.08333085263
842	0.08328518852
843	0.0832237494
844	0.08316933383
845	0.08311823732
846	0.0830532792
847	0.08297896132
848	0.08291397064
849	0.08284200092
850	0.0827499466
851	0.08268636238
852	0.08257816746
853	0.08253897946
854	0.08248217367
855	0.08243173267
856	0.08237965258
857	0.08226859322
858	0.08221959742
859	0.08212644604
860	0.08206566207
861	0.08203762573
862	0.0819709986
863	0.08190564944
864	0.08183589932
865	0.08180563022
866	0.0817491988
867	0.08161584739
868	0.0815637329
869	0.08152348875
870	0.08143543311
871	0.08138519565
872	0.08132022162
873	0.08123722319
874	0.08120129611
875	0.08116600562
876	0.08109824371
877	0.08106261608
878	0.08101421229
879	0.08096229204
880	0.08092001454
881	0.08081368476
882	0.08075968036
883	0.08074258495
884	0.08070579676
885	0.08064947241
886	0.08057231238
887	0.08052013053
888	0.08043977443
889	0.08039124069
890	0.08034365902
891	0.08030908796
892	0.08021266111
893	0.0801530472
894	0.08006417552
895	0.08001383621
896	0.07996504411
897	0.07991613335
898	0.07982050589
899	0.07972978239
900	0.07968751109
901	0.07963855072
902	0.07960126314
903	0.0795663297
904	0.07951470676
905	0.0794528834
906	0.07942599286
907	0.07932824653
908	0.07929835784
909	0.0792278172
910	0.07915700877
911	0.07907995486
912	0.07904238527
913	0.07901980465
914	0.07894786304
915	0.078890255
916	0.07884387617
917	0.07879559426
918	0.07873349488
919	0.07868557818
920	0.07864764062
921	0.07859216914
922	0.07849885602
923	0.07846267366
924	0.07839766799
925	0.07833636878
926	0.07831361726
927	0.07827551548
928	0.07820714878
929	0.07810777095
930	0.0780680798
931	0.07803913071
932	0.07798849251
933	0.07792381373
934	0.07785935512
935	0.07780787398
936	0.07775086575
937	0.07768311743
938	0.07759832059
939	0.07756557879
940	0.07751443835
941	0.0774652599
942	0.07741150925
943	0.07735867463
944	0.07732546919
945	0.07726405392
946	0.0772114297
947	0.07716168225
948	0.07711630709
949	0.07704698492
950	0.07697650614
951	0.07689888532
952	0.07686202488
953	0.07678902926
954	0.07674407361
955	0.07669536963
956	0.07662640389
957	0.0765695046
958	0.07652373183
959	0.076455874
960	0.0764109238
961	0.07635611305
962	0.07631313048
963	0.0762236803
964	0.076183671
965	0.07611158106
966	0.07606241593
967	0.07603553166
968	0.07595676055
969	0.07590722516
970	0.07584379878
971	0.07578824959
972	0.07573632465
973	0.07566966855
974	0.07561779745
975	0.07557940324
976	0.07551676388
977	0.07547951405
978	0.07541421927
979	0.07536917826
980	0.07526110362
981	0.07522466841
982	0.07518784496
983	0.07511440557
984	0.07502577264
985	0.07496717068
986	0.07489909013
987	0.07482671562
988	0.07476545102
989	0.07471714393
990	0.07467143581
991	0.07461718308
992	0.07456143065
993	0.07449932061
994	0.07446587275
995	0.07442769235
996	0.07438063802
997	0.07432414845
998	0.07427784162
999	0.07420791944
